Category,English,Arabic (Moroccan),Pronunciation
Essentials,Hello,السلام,assalam
Essentials,Good evening,مسا لخير,msa lkhir
Essentials,Goodbye,بسلامة,bslama
Essentials,See you later,من بعد,man baed
Essentials,Yes,ايه,ayeh
Essentials,Yes,نعام,n'am
Essentials,No,لا,la
Essentials,Please!,عافاك,aafak
Essentials,Thanks,شكرا,choukran
Essentials,Thanks a lot,شكرا بزاف,choukran bizzaf
Essentials,Thank you for your help,شكرا على المساعدة,choukran aala l'mosaada
Essentials,Don't mention it,بلا جميل,b'la g'mil
Essentials,Ok,واخا,wakha
Essentials,How much is it?,بشحال هدا عافاك؟,bach'hal hada aafak?
Essentials,Sorry!,سمح ليا,smah liya
Essentials,I don't understand,ما فهمتش,mafhamtch
Essentials,I get it,فهمت,fhamt
Essentials,I don't know,معرفتش,ma'eref'tch
Essentials,Forbidden,ممنوع,mamnoue
Essentials,"Excuse me, where are the toilets?",فين كاين لمرحاض من عافاك ؟,fin kayen l'mirhad aafak?
Essentials,Happy New Year!,سنة سعيدة,sana saida
Essentials,Happy birthday!,عيد ميلاد سعيد,eid milad said
Essentials,Happy holiday!,مبروك لعواشر,mabrouk l'aewacher
Essentials,Congratulations!,مبروك,mabrouk
Essentials,Hello. How are you?,السلام، لباس عليك؟,"salam, labas aalik?"
Essentials,"Hello. I'm fine, thank you",السلام، أنا بخير ، شكرا لك.,"salam, ana bikhir, chokran lik"
Essentials,Do you speak Arabic?,واش كتهضر العربية,wash kassad al' arabia
Essentials,Do you speak Arabic?,واش كتهضري العربية,wash kassad ali' arabia
Essentials,"No, I don't speak Arabic",لا، ماكنهضرش العربية,"la, maca da nach al' arabia"
Essentials,Only a little bit,غير شوية,ghir chwiya
Essentials,Where do you come from?,من اينا بلاد انتا ؟,man ina blad nta?
Essentials,Where do you come from?,من اينا بلاد انتا ؟,
Essentials,What is your nationality?,اشنوهي لجنسية ديالك؟,achnou hiya ljinsia dialek ?
Essentials,I am English,أنا نجليزي,ana englesi
Essentials,I am English,أنا نجليزية,ana englesia
Essentials,"And you, do you live here?",و نتي ساكنة هنا؟,wa nti sakna hna?
Essentials,"Yes, I live here",اياه، أنا ساكنة هنا,"ayeh, ana sakna hna"
Essentials,"My name is Sarah, what's your name?",سميتي سارة و نتا؟,smiti sara w nta?
Essentials,Julian,جوليان,jolian
Essentials,What are you doing here?,اش كدير هنا؟,ach kadir h'na?
Essentials,What are you doing here?,آش كديري هنا؟,ach kadiri h'na?
Essentials,I am on holiday,انا في عطلة,ana f otla
Essentials,We are on holiday,حنا في عطلة,hna f otla
Essentials,I am on a business trip,انا في سفر اعمال,ana f safar aemal
Essentials,I work here,كانخدم هنا,kanakhdam hna
Essentials,We work here,كانخدمو هنا,kankhadmo hna
Essentials,Where are the good places to go out and eat?,شنو هما بلايص الماكلة لمزيانين؟,chno houma blayes lmakla lmezianin?
Essentials,Is there a museum in the neighbourhood?,كأين شي متحف قريب من هنا؟,kayn chi mathaf k'rib man hna?
Essentials,Where could I get an internet connection?,فين نقدر نتكونيكتا؟,fin nakdar ntkonikta?
Essentials,I get it,فهمت,fhamt
Essentials,Do you want to learn a few words?,واش بغيتي تعلم بعض الكلمات؟,wach bghiti t'alem ba'ed lakalmat ?
Essentials,Do you want to learn a few words?,بغيتي تعلمي تهضري لغتي؟,b'riti t'almi thadri lourti?
