English,Arabic (Moroccan),Pronunciation
Hello,السلام,assalam
Good evening,مسا لخير,msa lkhir
Goodbye,بسلامة,bslama
See you later,من بعد,man baed
Yes,ايه,ayeh
Yes,نعام,n'am
No,لا,la
Please!,عافاك,aafak
Thanks,شكرا,choukran
Thanks a lot,شكرا بزاف,choukran bizzaf
Thank you for your help,شكرا على المساعدة,choukran aala l'mosaada
Don't mention it,بلا جميل,b'la g'mil
Ok,واخا,wakha
How much is it?,بشحال هدا عافاك؟,bach'hal hada aafak?
Sorry!,سمح ليا,smah liya
I don't understand,ما فهمتش,mafhamtch
I get it,فهمت,fhamt
I don't know,معرفتش,ma'eref'tch
Forbidden,ممنوع,mamnoue
"Excuse me, where are the toilets?",فين كاين لمرحاض من عافاك ؟,fin kayen l'mirhad aafak?
Happy New Year!,سنة سعيدة,sana saida
Happy birthday!,عيد ميلاد سعيد,eid milad said
Happy holiday!,مبروك لعواشر,mabrouk l'aewacher
Congratulations!,مبروك,mabrouk
Hello. How are you?,السلام، لباس عليك؟,"salam, labas aalik?"
"Hello. I'm fine, thank you",السلام، أنا بخير ، شكرا لك.,"salam, ana bikhir, chokran lik"
Do you speak Arabic?,واش كتهضر العربية,wash kassad al' arabia
Do you speak Arabic?,واش كتهضري العربية,wash kassad ali' arabia
"No, I don't speak Arabic",لا، ماكنهضرش العربية,"la, maca da nach al' arabia"
Only a little bit,غير شوية,ghir chwiya
Where do you come from?,من اينا بلاد انتا ؟,man ina blad nta?
Where do you come from?,من اينا بلاد انتا ؟,
What is your nationality?,اشنوهي لجنسية ديالك؟,achnou hiya ljinsia dialek ?
I am English,أنا نجليزي,ana englesi
I am English,أنا نجليزية,ana englesia
"And you, do you live here?",و نتي ساكنة هنا؟,wa nti sakna hna?
"Yes, I live here",اياه، أنا ساكنة هنا,"ayeh, ana sakna hna"
"My name is Sarah, what's your name?",سميتي سارة و نتا؟,smiti sara w nta?
Julian,جوليان,jolian
What are you doing here?,اش كدير هنا؟,ach kadir h'na?
What are you doing here?,آش كديري هنا؟,ach kadiri h'na?
I am on holiday,انا في عطلة,ana f otla
We are on holiday,حنا في عطلة,hna f otla
I am on a business trip,انا في سفر اعمال,ana f safar aemal
I work here,كانخدم هنا,kanakhdam hna
We work here,كانخدمو هنا,kankhadmo hna
Where are the good places to go out and eat?,شنو هما بلايص الماكلة لمزيانين؟,chno houma blayes lmakla lmezianin?
Is there a museum in the neighbourhood?,كأين شي متحف قريب من هنا؟,kayn chi mathaf k'rib man hna?
Where could I get an internet connection?,فين نقدر نتكونيكتا؟,fin nakdar ntkonikta?
I get it,فهمت,fhamt
Do you want to learn a few words?,واش بغيتي تعلم بعض الكلمات؟,wach bghiti t'alem ba'ed lakalmat ?
Do you want to learn a few words?,بغيتي تعلمي تهضري لغتي؟,b'riti t'almi thadri lourti?
"Yes, sure!",ايه، طبعا,"ayah, tab'aan"
What's  this called?,اسميت هدا؟,asmit hada?
It's a table,هادي طابلة,hadi tabla
A table. Do you understand?,طابلة، فهمتي؟,"tabla, fhamti?"
Can you repeat please?,واش ممكن تعاودي عافاك ؟,wach moumkin taawadi aafak ?
